OBJECTID,EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE,GEOLOC_COD,SOURCE,Land_Use_R,Vol_Cleanu,Laserfiche,Update Date,x,y
48867,NONCD0001118,KIDDE TECHNOLOGIES,4200 AIRPORT DR,WILSON,WILSON,35.76357,-77.96391,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,TRUE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001116*%22%7D,7/2/2026 12:00:00 AM,-77.9639099999999,35.7635700000001
48868,NONCD0001119,EDWARDS PROPERTY FOUNDRY SAND,10209 ROZZELLE'S FERRY RD,CHARLOTTE,MECKLENBURG,35.321008,-80.952892,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001118*%22%7D,7/2/2026 12:00:00 AM,-80.952892,35.3210080000001
48869,NONCD0001120,"EATON AEROQUIP, INC (FORMER)",680 LANIER RD,NORWOOD,STANLY,35.212023,-80.110256,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001119*%22%7D,7/2/2026 12:00:00 AM,-80.1102559999999,35.212023
48870,NONCD0001121,R & R PLATING,623 COLUMBUS APPAREL ST,WHITEVILLE,COLUMBUS,34.33754,-78.68423,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001120*%22%7D,7/2/2026 12:00:00 AM,-78.68423,34.33754
48871,NONCD0001122,CABARRUS ROUNDABOUT,CABARRUS AVE & OLD CHARLOTTE,CONCORD,CABARRUS,35.40023,-80.59349,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001121*%22%7D,7/2/2026 12:00:00 AM,-80.59349,35.4002300000001
48872,NONCD0001123,RALEIGH TTA-SE PARCEL,S WEST ST & MORGAN ST,RALEIGH,WAKE,35.77966,-78.64654,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001122*%22%7D,7/2/2026 12:00:00 AM,-78.64654,35.77966
48873,NONCD0001124,RALEIGH TTA-WILSON PARCEL,200 S WEST ST,RALEIGH,WAKE,35.778357,-78.646182,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001123*%22%7D,7/2/2026 12:00:00 AM,-78.646182,35.778357
48874,NONCD0001125,RALEIGH TTA-DILLON PARCEL A,102 S WEST ST,RALEIGH,WAKE,35.778931,-78.64656,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001124*%22%7D,7/2/2026 12:00:00 AM,-78.64656,35.7789310000001
48875,NONCD0001126,RALEIGH TTA-DILLON PARCEL B,S WEST ST,RALEIGH,WAKE,35.77777,-78.64663,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001125*%22%7D,7/2/2026 12:00:00 AM,-78.64663,35.77777
48876,NONCD0001127,RALEIGH TTA-DILLON PARCEL C,510 & 602 W MARTIN ST,RALEIGH,WAKE,35.77729,-78.64755,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001126*%22%7D,7/2/2026 12:00:00 AM,-78.64755,35.7772900000001
